ID,Project ID,Controller,Module,IOChannel,SoftwareTag,PointDescription,InstallCheck1,InstallCheck2,InstallCheck3,CommCheck1,CommCheck2,Notes
519893,34,CSM-ACU-MB-CL-01,NA,Alarm,CSM-ACU-MB-CL-06_Alarm,Alarm State,Pass,Pass,Pass,Pass,Pass,
519896,34,CSM-ACU-MB-CL-01,NA,Fan Speed,CSM-ACU-MB-CL-06_Fan Speed,High/ Low,Pass,Pass,Pass,Pass,Pass,
519897,34,CSM-ACU-MB-CL-01,NA,Opeation Mode,CSM-ACU-MB-CL-06_Opeation Mode,Heat/Cool/Fan Mode,Pass,Pass,Pass,Pass,Pass,
519898,34,CSM-ACU-MB-CL-01,NA,SetPoint,CSM-ACU-MB-CL-06_SetPoint,Set Point Write,Pass,Pass,Pass,Pass,Pass,
519899,34,CSM-ACU-MB-CL-01,NA,Ss,CSM-ACU-MB-CL-06_Ss,MSSB Fan Start Stop,Pass,Pass,Pass,Pass,Pass,
519900,34,CSM-ACU-MB-CL-01,NA,Sts,CSM-ACU-MB-CL-06_Sts,MSSB Fan Status,Pass,Pass,Pass,Pass,Pass,
519901,34,CSM-ACU-MB-CL-01,NA,ZnTmp,CSM-ACU-MB-CL-06_ZnTmp,Temp from HLI,Pass,Pass,Pass,Pass,Pass,
519894,34,CSM-ACU-MB-CL-01,Schneider Smartlink,CbSts,CSM-ACU-MB-CL-06_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
519895,34,CSM-ACU-MB-CL-01,Schneider Smartlink,CbTrip,CSM-ACU-MB-CL-06_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
519857,34,CSM-ACU-MB-CL-02,NA,Alarm,CSM-ACU-MB-CL-02_Alarm,Alarm State,Pass,Pass,Pass,Pass,Pass,
519860,34,CSM-ACU-MB-CL-02,NA,Fan Speed,CSM-ACU-MB-CL-02_Fan Speed,High/ Low,Pass,Pass,Pass,Pass,Pass,
519861,34,CSM-ACU-MB-CL-02,NA,Opeation Mode,CSM-ACU-MB-CL-02_Opeation Mode,Heat/Cool/Fan Mode,Pass,Pass,Pass,Pass,Pass,
519862,34,CSM-ACU-MB-CL-02,NA,SetPoint,CSM-ACU-MB-CL-02_SetPoint,Set Point Write,Pass,Pass,Pass,Pass,Pass,
519863,34,CSM-ACU-MB-CL-02,NA,Ss,CSM-ACU-MB-CL-02_Ss,MSSB Fan Start Stop,Pass,Pass,Pass,Pass,Pass,
519864,34,CSM-ACU-MB-CL-02,NA,Sts,CSM-ACU-MB-CL-02_Sts,MSSB Fan Status,Pass,Pass,Pass,Pass,Pass,
519865,34,CSM-ACU-MB-CL-02,NA,ZnTmp,CSM-ACU-MB-CL-02_ZnTmp,Temp from HLI,Pass,Pass,Pass,Pass,Pass,
519858,34,CSM-ACU-MB-CL-02,Schneider Smartlink,CbSts,CSM-ACU-MB-CL-02_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
519859,34,CSM-ACU-MB-CL-02,Schneider Smartlink,CbTrip,CSM-ACU-MB-CL-02_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
519866,34,CSM-ACU-MB-CL-03,NA,Alarm,CSM-ACU-MB-CL-03_Alarm,Alarm State,Pass,Pass,Pass,Pass,Pass,
519869,34,CSM-ACU-MB-CL-03,NA,Fan Speed,CSM-ACU-MB-CL-03_Fan Speed,High/ Low,Pass,Pass,Pass,Pass,Pass,
519870,34,CSM-ACU-MB-CL-03,NA,Opeation Mode,CSM-ACU-MB-CL-03_Opeation Mode,Heat/Cool/Fan Mode,Pass,Pass,Pass,Pass,Pass,
519871,34,CSM-ACU-MB-CL-03,NA,SetPoint,CSM-ACU-MB-CL-03_SetPoint,Set Point Write,Pass,Pass,Pass,Pass,Pass,
519872,34,CSM-ACU-MB-CL-03,NA,Ss,CSM-ACU-MB-CL-03_Ss,MSSB Fan Start Stop,Pass,Pass,Pass,Pass,Pass,
519873,34,CSM-ACU-MB-CL-03,NA,Sts,CSM-ACU-MB-CL-03_Sts,MSSB Fan Status,Pass,Pass,Pass,Pass,Pass,
519874,34,CSM-ACU-MB-CL-03,NA,ZnTmp,CSM-ACU-MB-CL-03_ZnTmp,Temp from HLI,Pass,Pass,Pass,Pass,Pass,
519867,34,CSM-ACU-MB-CL-03,Schneider Smartlink,CbSts,CSM-ACU-MB-CL-03_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
519868,34,CSM-ACU-MB-CL-03,Schneider Smartlink,CbTrip,CSM-ACU-MB-CL-03_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
519875,34,CSM-ACU-MB-CL-04,NA,Alarm,CSM-ACU-MB-CL-04_Alarm,Alarm State,Pass,Pass,Pass,Pass,Pass,
519878,34,CSM-ACU-MB-CL-04,NA,Fan Speed,CSM-ACU-MB-CL-04_Fan Speed,High/ Low,Pass,Pass,Pass,Pass,Pass,
519879,34,CSM-ACU-MB-CL-04,NA,Opeation Mode,CSM-ACU-MB-CL-04_Opeation Mode,Heat/Cool/Fan Mode,Pass,Pass,Pass,Pass,Pass,
519880,34,CSM-ACU-MB-CL-04,NA,SetPoint,CSM-ACU-MB-CL-04_SetPoint,Set Point Write,Pass,Pass,Pass,Pass,Pass,
519881,34,CSM-ACU-MB-CL-04,NA,Ss,CSM-ACU-MB-CL-04_Ss,MSSB Fan Start Stop,Pass,Pass,Pass,Pass,Pass,
